SLAService#start;Discoverer#start;MonitorDashboard#start;MonitorManager#start;Deployer#start;Dashboard#stop;Planner#stop;DataCollector#stop;SLAService#stop;SLAService#re-start;DataCollector#re-start;Planner#re-start;Dashboard#re-start;Discoverer#release;MonitorDashboard#release;MonitorManager#release;SLAService#release;Deployer#release
71.336;359.127;290.166;323.873;327.405;361.231;363.705;361.296;364.662;426.57;378.219;436.12;444.767;501.924;529.902;488.795;529.976;488.87
76.111;363.62;286.553;319.013;329.102;365.804;368.248;365.855;369.108;391.951;382.919;465.376;480.535;516.037;541.407;514.011;541.44;514.02
76.363;361.496;288.572;316.962;329.775;363.607;365.969;363.713;366.983;385.756;382.369;453.434;469.716;503.471;524.675;505.35;524.653;505.321
78.323;362.417;291.36;322.111;324.485;364.517;366.974;364.618;367.96;383.814;381.649;451.407;466.478;502.285;520.738;502.522;521.22;502.253
93.596;354.351;288.132;321.294;326.591;356.504;359.013;356.566;359.966;387.758;374.048;464.319;479.504;513.065;540.37;514.416;540.253;514.306
67.475;350.55;286.202;318.25;355.783;358.111;360.462;358.056;361.42;375.197;375.016;451.904;467.148;498.842;527.881;502.103;529.389;502.183
76.013;353.835;283.633;325.755;330.18;357.848;360.267;355.934;361.191;378.004;376.859;445.498;462.356;499.074;516.344;493.458;516.393;492.146
73.45;358.966;296.075;328.439;329.265;361.035;363.46;361.228;364.426;382.241;378.395;452.726;467.473;500.522;530.723;503.839;530.465;502.202
72.393;344.003;287.496;314.729;325.944;346.154;348.753;346.199;349.736;368.586;363.647;438.284;452.952;486.834;513.794;488.833;515.004;488.556
72.714;352.366;284.72;319.979;321.488;354.517;357.048;354.59;359.911;374.716;375.11;441.102;457.154;491.046;518.125;492.915;518.193;494.768
71.815;356.02;288.5;320.967;326.346;358.257;360.663;358.172;361.529;378.384;375.139;435.953;445.199;489.69;523.647;491.546;523.772;491.199
70.145;350.879;282.487;345.994;326.19;353.136;355.648;353.055;356.679;372.546;372.542;446.137;463.147;497.078;523.591;497.062;531.718;502.556
76.102;359.479;287.181;321.817;328.417;361.563;363.932;361.714;365.71;381.584;379.901;449.987;457.949;500.788;528.439;502.592;527.386;500.745
67.494;352.536;285.825;319.099;327.176;354.77;357.275;354.775;358.215;373.97;371.927;442.02;454.654;500.126;531.287;500.24;531.201;500.425
65.699;355.751;284.58;317.017;352.243;357.886;360.347;357.913;361.285;377.099;376.427;453.588;468.274;501.918;528.135;503.603;528.127;503.702
80.84;352.842;294.845;318.414;333.932;354.957;357.214;354.984;358.321;375.119;373.248;445.324;462.183;496.19;528.107;496.152;527.935;497.988
81.976;370.824;302.012;335.696;342.153;372.979;375.552;373.024;376.446;393.367;390.399;469.996;485.06;520.506;554.217;520.407;555.349;518.593
76.046;379.767;313.11;338.655;344.07;381.92;384.179;381.96;385.128;408.974;401.364;478.285;494.618;528.716;564.663;528.672;563.911;530.492
68.178;383.477;309.923;346.324;344.387;385.615;388.146;385.673;389.12;405.018;402.817;472.746;487.881;522.241;549.998;522.439;549.425;524.31
80.407;627.978;557.281;593.756;618.47;630.091;632.496;630.247;633.368;649.162;647.421;722.815;737.55;769.925;797.958;771.67;797.819;773.967
